"Meter Number","Meter Name","Meter Date","Voltage 1","Current 1 (Amps 1)"
"10009540","Meter 9540","=""2018-12-12 12:35:49""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:35:51""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:53""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:55""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:57""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:35:59""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:01""","132.10","0"
"10009540","Meter 9540","=""2018-12-12 12:36:03""","132.10","0"
"10009540","Meter 9540","=""2018-12-12 12:36:05""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:07""","131.80","0"
"10009540","Meter 9540","=""2018-12-12 12:36:09""","131.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:11""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:13""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:15""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:17""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:19""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:21""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:36:23""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:36:25""","131.90","0"
"10009540","Meter 9540","=""2018-12-12 12:36:27""","132.20","0"
"10009540","Meter 9540","=""2018-12-12 12:36:29""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:31""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:33""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:35""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:37""","132.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:39""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:36:41""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:36:43""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:36:45""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:36:47""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:36:49""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:36:51""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:36:53""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:36:55""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:36:57""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:36:59""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:37:01""","131.70","0"
"10009540","Meter 9540","=""2018-12-12 12:37:03""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:37:05""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:37:07""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:37:09""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:37:11""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:37:13""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:37:15""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:37:17""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:37:19""","131.40","0"
"10009540","Meter 9540","=""2018-12-12 12:37:21""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:37:23""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:37:25""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:37:27""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:37:29""","131.30","0"
"10009540","Meter 9540","=""2018-12-12 12:37:31""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:37:33""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:37:35""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:37:37""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:37:39""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:37:41""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:37:43""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:37:45""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:37:47""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:37:49""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:37:51""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:37:53""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:37:55""","131.00","0"
"10009540","Meter 9540","=""2018-12-12 12:37:57""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:37:59""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:01""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:38:03""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:38:05""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:38:07""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:38:09""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:38:11""","130.40","0"
"10009540","Meter 9540","=""2018-12-12 12:38:13""","131.20","0"
"10009540","Meter 9540","=""2018-12-12 12:38:15""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:17""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:38:19""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:21""","131.60","0"
"10009540","Meter 9540","=""2018-12-12 12:38:23""","131.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:25""","130.80","0.6"
"10009540","Meter 9540","=""2018-12-12 12:38:27""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:38:29""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:38:31""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:33""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:38:35""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:38:37""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:38:39""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:38:41""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:38:43""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:38:45""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:38:47""","128.10","5.2"
"10009540","Meter 9540","=""2018-12-12 12:38:49""","129.80","1.6"
"10009540","Meter 9540","=""2018-12-12 12:38:51""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:38:53""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:55""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:38:57""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:38:59""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:39:01""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:03""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:39:05""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:39:07""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:39:09""","130.80","0"
"10009540","Meter 9540","=""2018-12-12 12:39:11""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:39:13""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:15""","131.10","0"
"10009540","Meter 9540","=""2018-12-12 12:39:17""","130.70","0"
"10009540","Meter 9540","=""2018-12-12 12:39:19""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:39:21""","130.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:23""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:39:25""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:39:27""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:39:29""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:39:31""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:39:33""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:39:35""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:39:37""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:39:39""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:39:41""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:39:43""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:39:45""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:47""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:39:49""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:39:52""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:54""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:39:56""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:39:58""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:00""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:40:02""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:04""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:40:06""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:40:08""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:11""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:13""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:15""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:17""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:19""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:21""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:23""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:25""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:27""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:28""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:29""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:40:30""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:40:31""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:32""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:40:33""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:34""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:35""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:36""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:40:37""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:38""","129.20","0"
"10009540","Meter 9540","=""2018-12-12 12:40:39""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:40""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:40:41""","129.20","0"
