"Meter Number","Meter Name","Meter Date","Meter Day of Week","Total Kilowatt Hour","Total Kilowatt Hour T1 (TOU1)","Voltage 1","Current 1 (Amps 1)","Total Kilowatt Hour L1","Current Direction L1","Decimal Places"
"10009540","Meter 9540","=""2018-12-12 12:34:57""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:34:59""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:01""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:03""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:05""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:07""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:09""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:11""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:13""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:15""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:17""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:19""","4","478.9","457.0","131.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:21""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:23""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:25""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:27""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:29""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:31""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:33""","4","478.9","457.0","131.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:35""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:37""","4","478.9","457.0","131.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:39""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:41""","4","478.9","457.0","131.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:43""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:45""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:47""","4","478.9","457.0","131.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:49""","4","478.9","457.0","131.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:51""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:53""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:55""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:57""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:35:59""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:01""","4","478.9","457.0","132.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:03""","4","478.9","457.0","132.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:05""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:07""","4","478.9","457.0","131.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:09""","4","478.9","457.0","131.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:11""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:13""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:15""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:17""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:19""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:21""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:23""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:25""","4","478.9","457.0","131.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:27""","4","478.9","457.0","132.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:29""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:31""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:33""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:35""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:37""","4","478.9","457.0","132.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:39""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:41""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:43""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:45""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:47""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:49""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:51""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:53""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:55""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:57""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:36:59""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:01""","4","478.9","457.0","131.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:03""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:05""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:07""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:09""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:11""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:13""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:15""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:17""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:19""","4","478.9","457.0","131.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:21""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:23""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:25""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:27""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:29""","4","478.9","457.0","131.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:31""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:33""","4","478.9","457.0","131.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:35""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:37""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:39""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:41""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:43""","4","478.9","457.0","129.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:45""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:47""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:49""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:51""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:53""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:55""","4","478.9","457.0","131.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:57""","4","478.9","457.0","131.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:37:59""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:01""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:03""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:05""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:07""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:09""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:11""","4","478.9","457.0","130.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:13""","4","478.9","457.0","131.20","0","","",""
